timestamp;open;high;low;close;volume
1.74234E+12;0.689;0.689;0.689;0.689;0.219999999
1.74234E+12;0.688;0.688;0.688;0.688;0.219999999
1.74234E+12;0.689;0.689;0.688;0.688;0.219999999
1.74234E+12;0.688;0.689;0.688;0.688;0.99000001
1.74234E+12;0.689;0.689;0.688;0.688;0.219999999
1.74234E+12;0.688;0.689;0.688;0.688;1.210000038
1.74234E+12;0.688;0.689;0.688;0.689;0.219999999
1.74234E+12;0.689;0.69;0.689;0.689;0.550000012
1.74234E+12;0.69;0.69;0.689;0.69;1.649999976
1.74234E+12;0.69;0.691;0.69;0.69;0.550000012
1.74234E+12;0.69;0.691;0.69;0.69;0.769999981
1.74234E+12;0.69;0.691;0.69;0.69;1.320000052
1.74234E+12;0.69;0.691;0.69;0.691;0.330000013
1.74234E+12;0.69;0.691;0.69;0.69;1.100000024
1.74234E+12;0.69;0.691;0.69;0.691;0.439999998
1.74234E+12;0.692;0.692;0.691;0.692;0.330000013
1.74234E+12;0.691;0.691;0.691;0.691;0.219999999
1.74234E+12;0.692;0.692;0.691;0.692;0.550000012
1.74234E+12;0.692;0.693;0.692;0.692;0.99000001
1.74234E+12;0.692;0.693;0.692;0.692;0.879999995
1.74234E+12;0.692;0.694;0.692;0.694;0.99000001
1.74234E+12;0.693;0.694;0.693;0.693;0.439999998
1.74234E+12;0.692;0.693;0.692;0.693;0.219999999
1.74234E+12;0.693;0.695;0.693;0.694;0.439999998
1.74234E+12;0.695;0.695;0.694;0.694;0.219999999
1.74234E+12;0.694;0.695;0.694;0.695;0.219999999
1.74234E+12;0.695;0.695;0.695;0.695;0.219999999
1.74234E+12;0.695;0.695;0.694;0.694;0.550000012
1.74234E+12;0.695;0.696;0.695;0.696;0.550000012
1.74234E+12;0.697;0.697;0.697;0.697;0.769999981
1.74234E+12;0.696;0.696;0.696;0.696;0.109999999
1.74234E+12;0.696;0.696;0.696;0.696;1.100000024
1.74234E+12;0.695;0.695;0.695;0.695;0.219999999
1.74234E+12;0.695;0.697;0.695;0.697;0.660000026
1.74234E+12;0.696;0.696;0.696;0.696;0.219999999
1.74234E+12;0.697;0.697;0.696;0.696;0.330000013
1.74234E+12;0.695;0.695;0.695;0.695;0.109999999
1.74234E+12;0.694;0.695;0.694;0.695;0.99000001
1.74234E+12;0.694;0.694;0.694;0.694;0.219999999
1.74235E+12;0.694;0.695;0.694;0.694;1.210000038
1.74235E+12;0.695;0.696;0.695;0.696;0.330000013
1.74235E+12;0.695;0.695;0.695;0.695;0.109999999
1.74235E+12;0.694;0.694;0.694;0.694;0.109999999
